"","country.x","country_code","iso","designation","Country","country_emissions","global_emissions","emissions_share","readiness_2021","vulnerability_2021","gdp_reformed","gdp_2021","country.y","renewable_share_2020","env_exposure_2022","emissions_share_scaled","readiness_2021_scaled","vulnerability_2021_scaled","gdp_reformed_scaled","renewable_share_2020_scaled","env_exposure_2022_scaled"
"1","Australia","193","AUS","advanced_economy","Australia",18968.830828,1693867.357528,0.0111985337834733,0.690552124980166,0.312333125792969,2124062043304.36,1552703151616,"Australia",0.224544363860575,5.5,0.0449592869509798,0.828079635678854,0.15703356254715,0.0617675923923098,0.775455636139425,0.666666666666667
"2","Austria","122","AUT","advanced_economy","Austria",5571.699448,1693867.357528,0.00328933633630631,0.68230738466746,0.288055243902042,674599779196.425,480368403893,"Austria",0.763764625520958,2.8,0.0132055056447536,0.815733545021263,0.101089503170132,0.0196167224286497,0.236235374479042,0.333333333333333
"3","Belgium","124","BEL","advanced_economy","Belgium",12644.150407,1693867.357528,0.00746466383616522,0.600207432355383,0.326616195482097,823055002266.422,594351961634,"Belgium",0.261897996397767,1.8,0.0299685763858793,0.692792928848466,0.189946355449123,0.0239338522760422,0.738102003602233,0.209876543209877
"4","Canada","156","CAN","advanced_economy","Canada",34115.395331,1693867.357528,0.0201405353136903,0.649978713029132,0.288210620058197,2704494819673.42,2001486745424,"Canada",0.670481181047284,3.5,0.0808595616535864,0.76732295890842,0.101447539877979,0.0786467806852426,0.329518818952716,0.419753086419753
"5","Cyprus","423","CYP","advanced_economy","Cyprus",301.471096,1693867.357528,0.000177977983140286,0.519999824249797,0.359601673451646,36678367353.8512,28408064462,"Cyprus",0.12304191968945,1.1,0.000714049542956269,0.572686004489188,0.265955520762567,0.0010657444946643,0.87695808031055,0.123456790123457
"6","Czech Republic","935","CZE","advanced_economy","Czech Republic",12076.99061,1693867.357528,0.00712983254345544,0.560700419800513,0.268205627720592,360975393157.68,281791218507,"Czech Rep.",0.126902982151518,2.6,0.028624298446909,0.633633132406932,0.055349594258184,0.010496415511596,0.873097017848482,0.308641975308642
"7","Denmark","128","DNK","advanced_economy","Denmark",4115.088231,1693867.357528,0.00242940405735517,0.779030737720829,0.340559853826953,571214545072.521,398303272764,"Denmark",0.816177154879137,1.7,0.00975305655540127,0.960571980218879,0.222077035295168,0.0166102436346666,0.183822845120863,0.197530864197531
"8","Estonia","939","EST","advanced_economy","Estonia",1640.459379,1693867.357528,0.000968469798835995,0.62035371104656,0.339949821697239,46819248116.7117,37191166152,"Estonia, Rep. of",0.478200476035047,1.4,0.00388770962764086,0.722960984323912,0.220671324787145,0.00136064485663777,0.521799523964953,0.160493827160494
"9","Finland","172","FIN","advanced_economy","Finland",3226.028836,1693867.357528,0.00190453450895235,0.75333429246666,0.275603546020012,402783638869.459,296387625264,"Finland",0.516460937280865,0.6,0.00764581457976307,0.922092824944956,0.0723967807659883,0.0117122139301154,0.483539062719135,0.0617283950617284
"10","France","132","FRA","advanced_economy","France",39105.764962,1693867.357528,0.0230866748734507,0.652971827383289,0.303177108220348,3916580493147.66,2957879759264,"France",0.234526346973967,3.1,0.0926876986931746,0.771804999550502,0.135935149059474,0.113894656309567,0.765473653026033,0.37037037037037
"11","Germany","134","DEU","advanced_economy","Germany",93290.503809,1693867.357528,0.0550754481420236,0.691691591276193,0.287394299021096,5949923140569.42,4259934911822,"Germany",0.436823558583887,3,0.221115964318097,0.82978593007485,0.0995664732851242,0.173024972182803,0.563176441416113,0.358024691358025
"12","Greece","174","GRC","advanced_economy","Greece",4132.680505,1693867.357528,0.00243978992016893,0.533062293350088,0.328674711463837,245278548394.249,214873879834,"Greece",0.363803390557766,1.7,0.00979475363259118,0.592246405618577,0.194689839284673,0.00713191077105314,0.636196609442234,0.197530864197531
"13","Hong Kong SAR","532","HKG","advanced_economy","Hong Kong",1652.054474,1693867.357528,0.000975315137078371,0.408639120435922,0.419955665541114,534539488223.07,368911387845,"China, P.R.: Hong Kong",0.0054763943015202,3.45,0.00391519223570161,0.405928860803244,0.405030557549653,0.0155437201449209,0.99452360569848,0.41358024691358
